Caso de Uso: CU01;
Nombre;Registrar nuevo usuario
Actores;U, AP
Funciones Asociadas;US1, AP1, AP2
Objetivo;Insertar en el sistema de almacenamiento persistente un nuevo usuario
Pre Condiciones;Sistema de almacenamiento persistente sin registro de usuario
Post Condiciones;Usuario registrado en sistema, área de trabajo creada correctamente
Acciones del Actor;Acciones del Sistema
Administrador ingresa a formulario de nuevo registro de usuario;
;Sistema solicita los datos de usuario
Administrador completa y envía formulario;
;Sistema procesa y valida los datos
;Sistema registra nuevo dato en almacenamiento persistente (CU02)
;Sistema crea área de trabajo para nuevo usuario (CU03)
;Sistema notifica el correcto término del proceso
Referencias Cruzadas;CU02, CU03
Cursos alternativos;Usuario ya existe y el sistema lo notifica
;No se puede registrar el usuario por problemas en AP, se notifica
;
Caso de Uso: CU06;
Nombre;Editar usuario existente
Actores;U, AP
Funciones Asociadas;
Objetivo;Editar usuario existente en el sistema de almacenamiento persistente
Pre Condiciones;Sistema de almacenamiento persistente sin usuario modificado
Post Condiciones;Usuario registrado modificado de manera correcta
Acciones del Actor;Acciones del Sistema
Administrador ingresa a formulario de editar registro de usuario;
;Sistema solicita los datos de usuario
Administrador completa y envía formulario;
;Sistema procesa y valida los datos
;Sistema edita registro en almacenamiento persistente (CU07)
;Sistema notifica el correcto término del proceso
Referencias Cruzadas;CU07
Cursos alternativos;No se puede editar el usuario por problemas en AP, se notifica
;
Caso de Uso: CU08;
Nombre;Eliminar usuario existente
Actores;U, AP
Funciones Asociadas;
Objetivo;Eliminar usuario existente en el sistema de almacenamiento persistente
Pre Condiciones;Sistema de almacenamiento persistente con usuario registrado
Post Condiciones;Usuario registrado eliminado de manera correcta
Acciones del Actor;Acciones del Sistema
Administrador ingresa a formulario de eliminar registro de usuario;
;Sistema solicita los datos de usuario
Administrador completa y envía formulario;
;Sistema procesa y valida los datos
;Sistema elimina registro en almacenamiento persistente (CU09)
;Sistema elimina área de trabajo del usuario (CU10)
;Sistema notifica el correcto término del proceso
Referencias Cruzadas;CU09, CU10
Cursos alternativos;No se puede eliminar el usuario por problemas en AP, se notifica
;
Caso de Uso: CU11;
Nombre;Visualizar usuarios
Actores;U, AP
Funciones Asociadas;
Objetivo;Visualizar lista de usuarios o datos de usuario seleccionado
Pre Condiciones;Solicitud de visualización de usuarios
Post Condiciones;Solicitud respondida de visualización de usuarios
Acciones del Actor;Acciones del Sistema
Administrador ingresa a sección visualizar usuarios;
;Sistema recibe la solicitud
;Sistema consulta la data al Sistema de Almacenamiento persistente
;Sistema recupera la respuesta en formato JSON
;Sistema decodifica la información
;Sistema despliega la respuesta en la interfaz de usuario
Referencias Cruzadas;CU12
Cursos alternativos;No se puede mostrar la data, se notifica la acción
;
Caso de Uso: CU13;
Nombre;Registrar nuevo rol
Actores;U, AP
Funciones Asociadas;
Objetivo;Insertar en el sistema de almacenamiento persistente un nuevo rol
Pre Condiciones;Sistema de almacenamiento persistente sin registro de rol
Post Condiciones;Rol registrado en sistema
Acciones del Actor;Acciones del Sistema
Administrador ingresa a formulario de nuevo registro de rol;
;Sistema solicita los datos de rol
Administrador completa y envía formulario;
;Sistema procesa y valida los datos
;Sistema registra nuevo dato en almacenamiento persistente (CU02)
;Sistema notifica el correcto término del proceso
Referencias Cruzadas;CU02
Cursos alternativos;Rol ya existe y el sistema lo notifica
;No se puede registrar el rol por problemas en AP, se notifica
;
Caso de Uso: CU14;
Nombre;Editar rol existente
Actores;U, AP
Funciones Asociadas;
Objetivo;Editar rol existente en el sistema de almacenamiento persistente
Pre Condiciones;Sistema de almacenamiento persistente sin rol modificado
Post Condiciones;Rol editado modificado de manera correcta
Acciones del Actor;Acciones del Sistema
Administrador ingresa a formulario de editar registro de rol;
;Sistema solicita los datos de rol
Administrador completa y envía formulario;
;Sistema procesa y valida los datos
;Sistema edita registro en almacenamiento persistente (CU07)
;Sistema notifica el correcto término del proceso
Referencias Cruzadas;CU07
Cursos alternativos;No se puede editar el rol por problemas en AP, se notifica
;
Caso de Uso: CU15;
Nombre;Eliminar rol existente
Actores;U, AP
Funciones Asociadas;
Objetivo;Eliminar rol existente en el sistema de almacenamiento persistente
Pre Condiciones;Sistema de almacenamiento persistente con rol registrado
Post Condiciones;Rol registrado eliminado de manera correcta
Acciones del Actor;Acciones del Sistema
Administrador ingresa a formulario de eliminar registro de rol;
;Sistema solicita los datos de rol
Administrador completa y envía formulario;
;Sistema procesa y valida los datos
;Sistema elimina registro en almacenamiento persistente (CU09)
;Sistema notifica el correcto término del proceso
Referencias Cruzadas;CU09
Cursos alternativos;No se puede eliminar el rol por problemas en AP, se notifica
;
Caso de Uso: CU16;
Nombre;Visualizar roles
Actores;U, AP
Funciones Asociadas;
Objetivo;Visualizar lista de roles registrados en el sistema de almacenamiento persistente
Pre Condiciones;Solicitud de visualización de roles
Post Condiciones;Solicitud respondida de visualización de roles
Acciones del Actor;Acciones del Sistema
Administrador ingresa a sección visualizar roles;
;Sistema recibe la solicitud
;Sistema consulta la data al Sistema de Almacenamiento persistente
;Sistema recupera la respuesta en formato JSON
;Sistema decodifica la información
;Sistema despliega la respuesta en la interfaz de usuario
Referencias Cruzadas;CU12
Cursos alternativos;No se puede mostrar la data, se notifica la acción
